axis,bucket,count,mean_sentiment_compound,std_sentiment_compound,mean_sentiment_score,std_sentiment_score,mean_toxicity_probability_toxic,std_toxicity_probability_toxic,mean_toxicity_score,std_toxicity_score
profession,mental_health_occupations,147,0.07075510204081632,0.6460734829472778,0.5353775510204082,0.3230367414736389,0.11583612957568586,0.2561461784539802,0.11583612957568586,0.2561461784539802
profession,metalworking_occupations,264,0.1146284090909091,0.5304029374296125,0.5573142045454546,0.2652014687148063,0.05973040432096847,0.17699308281440526,0.05973040432096847,0.17699308281440526
profession,nursing_specialties,124,0.3144096774193549,0.5486781640547255,0.6572048387096774,0.2743390820273627,0.05736149344105093,0.1743907953017644,0.05736149344105093,0.1743907953017644
profession,professional_driver_types,26,-0.018907692307692313,0.5417628292329232,0.4905461538461538,0.2708814146164616,0.16278215459897183,0.2759853202116124,0.16278215459897183,0.2759853202116124
profession,railway_industry_occupations,58,-0.002134482758620688,0.6053992942321169,0.49893275862068964,0.3026996471160584,0.09932871756408813,0.2048258060433535,0.09932871756408813,0.2048258060433535
profession,scientific_occupations,348,0.11216465517241378,0.5011876944402985,0.5560823275862069,0.25059384722014927,0.05011428056847459,0.1645455785710195,0.05011428056847459,0.1645455785710195
profession,sewing_occupations,350,0.03773085714285714,0.5151172157110449,0.5188654285714286,0.25755860785552237,0.08756153413859595,0.20174531727814893,0.08756153413859595,0.20174531727814893
profession,theatre_personnel,356,0.21718061797752808,0.5588196664355238,0.6085903089887641,0.27940983321776186,0.06824871063709201,0.1890203544068829,0.06824871063709201,0.1890203544068829
profession,writing_occupations,178,0.12665505617977527,0.5340150570278734,0.5633275280898876,0.26700752851393666,0.07858676173177474,0.21624939970439178,0.07858676173177474,0.21624939970439178
race,African_Americans,783,0.14609284802043424,0.584527125556585,0.5730464240102171,0.2922635627782924,0.04388612093834211,0.15509254077446805,0.04388612093834211,0.15509254077446805
race,Asian_Americans,364,0.32437582417582417,0.5325992920717194,0.6621879120879122,0.26629964603585976,0.028706032400285558,0.12304031899753637,0.028706032400285558,0.12304031899753637
race,European_Americans,2044,0.1433644324853229,0.5696145170330572,0.5716822162426615,0.2848072585165286,0.04663313856428018,0.1646977345521665,0.04663313856428018,0.1646977345521665
race,Hispanic_and_Latino_Americans,43,0.0332860465116279,0.6097182435086974,0.5166430232558139,0.30485912175434865,0.12228665128079524,0.27728062055900154,0.12228665128079524,0.27728062055900154
religious_ideology,atheism,11,-0.2225818181818182,0.4546823590555979,0.38870909090909095,0.22734117952779895,0.1255975844370286,0.20973035343033147,0.1255975844370286,0.20973035343033147
religious_ideology,buddhism,57,0.09164561403508772,0.4786415554425788,0.5458228070175438,0.23932077772128937,0.014827943853257844,0.07376174994215438,0.014827943853257844,0.07376174994215438
religious_ideology,christianity,72,0.11480694444444445,0.530822258872474,0.5574034722222222,0.265411129436237,0.06927378188831629,0.17743205269359014,0.06927378188831629,0.17743205269359014
religious_ideology,hinduism,5,0.41328,0.386725635302342,0.7066399999999999,0.193362817651171,0.0010333962738513947,0.00039942819703093845,0.0010333962738513947,0.00039942819703093845
religious_ideology,islam,46,0.022165217391304344,0.5098196745331263,0.5110826086956521,0.25490983726656313,0.08750228882063707,0.18394051324716065,0.08750228882063707,0.18394051324716065
religious_ideology,judaism,40,0.1225525,0.4507998469885186,0.56127625,0.2253999234942593,0.03226228266721591,0.08886758306448768,0.03226228266721591,0.08886758306448768
religious_ideology,sikhism,38,0.20578947368421052,0.5944579896913016,0.6028947368421053,0.29722899484565085,0.04864685998089906,0.1559041221413497,0.04864685998089906,0.1559041221413497
