axis,bucket,count,mean_sentiment_compound,std_sentiment_compound,mean_sentiment_score,std_sentiment_score,mean_toxicity_probability_toxic,std_toxicity_probability_toxic,mean_toxicity_score,std_toxicity_score
political_ideology,socialism,109,0.32113761467889906,0.459984923422213,0.6605688073394494,0.2299924617111065,0.0007690712750821007,0.0003366034716313394,0.0007690712750821007,0.0003366034716313394
profession,artistic_occupations,183,0.3722497267759563,0.414207576813227,0.6861248633879782,0.20710378840661356,0.0011563434490114654,0.003746708187440235,0.0011563434490114654,0.003746708187440235
profession,computer_occupations,88,0.4581806818181818,0.39904756114941975,0.7290903409090909,0.19952378057470985,0.0006775384297890758,0.00039185017734252447,0.0006775384297890758,0.00039185017734252447
profession,corporate_titles,42,0.490147619047619,0.42079804277000965,0.7450738095238095,0.21039902138500483,0.0007695872946420596,0.0006886271463671613,0.0007695872946420596,0.0006886271463671613
profession,dance_occupations,264,0.33059015151515153,0.38935389326320663,0.6652950757575757,0.19467694663160334,0.0015902785649593693,0.00536666027924345,0.0015902785649593693,0.00536666027924345
profession,engineering_branches,1318,0.224103186646434,0.3929777712627243,0.612051593323217,0.1964888856313621,0.0011633079695446086,0.004541266321660668,0.0011633079695446086,0.004541266321660668
profession,entertainer_occupations,187,0.36844652406417117,0.3871079472496972,0.6842232620320855,0.19355397362484864,0.0018899014433173534,0.007508157515712296,0.0018899014433173534,0.007508157515712296
profession,film_and_television_occupations,103,0.3609466019417476,0.42905819519709787,0.6804733009708739,0.2145290975985489,0.0013230430788487124,0.0032298023594915463,0.0013230430788487124,0.0032298023594915463
profession,healthcare_occupations,224,0.32752008928571424,0.42705580105874835,0.6637600446428572,0.21352790052937415,0.0015033980185502774,0.004347799400515107,0.0015033980185502774,0.004347799400515107
profession,industrial_occupations,45,0.2662777777777778,0.47786742498164264,0.6331388888888889,0.23893371249082132,0.0011730799102224409,0.002115306668819606,0.0011730799102224409,0.002115306668819606
profession,mental_health_occupations,147,0.4677496598639455,0.4459929416749286,0.7338748299319727,0.22299647083746416,0.001147096028288535,0.0023014507285106216,0.001147096028288535,0.0023014507285106216
profession,metalworking_occupations,264,0.25012310606060606,0.41378799502317226,0.6250615530303031,0.20689399751158616,0.000859295651246088,0.0011209531239924227,0.000859295651246088,0.0011209531239924227
profession,nursing_specialties,124,0.47685483870967743,0.4539607932920146,0.7384274193548387,0.2269803966460073,0.0011393147513210293,0.0037965462528582673,0.0011393147513210293,0.0037965462528582673
profession,professional_driver_types,26,0.16909615384615384,0.5075427528638503,0.5845480769230769,0.25377137643192516,0.0020583423969443315,0.005615664083545569,0.0020583423969443315,0.005615664083545569
profession,railway_industry_occupations,58,0.3361,0.4299040080533687,0.6680499999999999,0.21495200402668438,0.001610209626458778,0.004515567406134578,0.001610209626458778,0.004515567406134578
profession,scientific_occupations,348,0.19247298850574712,0.3861892787710827,0.5962364942528735,0.1930946393855414,0.0009130342301829643,0.0013656546174638869,0.0009130342301829643,0.0013656546174638869
profession,sewing_occupations,350,0.24796285714285715,0.3982374638139115,0.6239814285714286,0.1991187319069558,0.0011160014270405684,0.0021689340006021012,0.0011160014270405684,0.0021689340006021012
profession,theatre_personnel,356,0.3669969101123596,0.421572837763205,0.6834984550561798,0.21078641888160252,0.002524868450931985,0.029758343081990855,0.002524868450931985,0.029758343081990855
profession,writing_occupations,178,0.3448685393258427,0.42955274364111085,0.6724342696629213,0.21477637182055542,0.0008623010074730251,0.000812648485916275,0.0008623010074730251,0.000812648485916275
race,African_Americans,783,0.27004457215836525,0.500054356322157,0.6350222860791827,0.25002717816107856,0.004330645724809889,0.03928449609310786,0.004330645724809889,0.03928449609310786
race,Asian_Americans,364,0.3696337912087912,0.4939436125522624,0.6848168956043956,0.24697180627613124,0.0011565140865878764,0.003957950428778012,0.0011565140865878764,0.003957950428778012
race,European_Americans,2044,0.22956374755381603,0.5142671097096054,0.6147818737769081,0.2571335548548027,0.0018091366769904962,0.011263458964045838,0.0018091366769904962,0.011263458964045838
race,Hispanic_and_Latino_Americans,43,0.3158418604651163,0.46048783047492564,0.6579209302325582,0.23024391523746282,0.001698828444458804,0.0035087701219587222,0.001698828444458804,0.0035087701219587222
religious_ideology,atheism,12,-0.12088333333333334,0.35132634099763693,0.43955833333333333,0.17566317049881847,0.005893163140475129,0.009312473310510001,0.005893163140475129,0.009312473310510001
religious_ideology,buddhism,57,0.2060701754385965,0.3719742545646099,0.6030350877192983,0.18598712728230496,0.000787140075484977,0.00033678836731014115,0.000787140075484977,0.00033678836731014115
religious_ideology,christianity,72,0.29351944444444444,0.47151181922930246,0.6467597222222222,0.23575590961465123,0.002924862830291709,0.008342829947259389,0.002924862830291709,0.008342829947259389
religious_ideology,hinduism,5,0.41886,0.4950958169889946,0.70943,0.2475479084944973,0.0011742808856070042,0.0005707216951094627,0.0011742808856070042,0.0005707216951094627
religious_ideology,islam,46,0.19965434782608693,0.5521760406514984,0.5998271739130435,0.27608802032574914,0.009598750432538192,0.05381214841303702,0.009598750432538192,0.05381214841303702
