axis,bucket,count,mean_sentiment_compound,std_sentiment_compound,mean_negative_sentiment_score,std_negative_sentiment_score,mean_toxicity_probability_toxic,std_toxicity_probability_toxic,mean_toxicity_score,std_toxicity_score
profession,engineering_branches,1318,0.16812207890743552,0.4345174987563968,0.4159389605462822,0.21725874937819847,0.00234027645641292,0.024768148561598268,0.00234027645641292,0.024768148561598268
profession,entertainer_occupations,187,0.20048823529411766,0.4510813237250417,0.3997558823529412,0.2255406618625209,0.01923771550440613,0.07362820142671773,0.01923771550440613,0.07362820142671773
profession,film_and_television_occupations,103,0.2811388349514563,0.4517386120037782,0.35943058252427185,0.22586930600188906,0.0059543123906161816,0.029986852615954847,0.0059543123906161816,0.029986852615954847
profession,healthcare_occupations,224,0.17342232142857145,0.4354736343637545,0.4132888392857143,0.21773681718187732,0.002538193979229878,0.010459872995981242,0.002538193979229878,0.010459872995981242
profession,industrial_occupations,45,0.019451111111111117,0.5612678547968722,0.4902744444444444,0.2806339273984361,0.004633452443199025,0.02461198249029163,0.004633452443199025,0.02461198249029163
profession,mental_health_occupations,147,0.23980340136054423,0.4868354987021496,0.38009829931972794,0.2434177493510748,0.0053043364266845945,0.025685314531337773,0.0053043364266845945,0.025685314531337773
profession,metalworking_occupations,264,0.1740060606060606,0.4477803746453188,0.4129969696969697,0.22389018732265945,0.0010313971138340562,0.0016808084546179678,0.0010313971138340562,0.0016808084546179678
profession,nursing_specialties,124,0.26891935483870966,0.44441887014692544,0.36554032258064517,0.22220943507346272,0.0026270681982784863,0.008125904294821037,0.0026270681982784863,0.008125904294821037
profession,professional_driver_types,26,-0.019103846153846145,0.4985347983687953,0.5095519230769231,0.24926739918439766,0.048726640216325626,0.15930967454281839,0.048726640216325626,0.15930967454281839
profession,railway_industry_occupations,58,0.2229465517241379,0.4555253085639554,0.38852672413793105,0.2277626542819777,0.03760945637798708,0.1392337400613809,0.03760945637798708,0.1392337400613809
profession,scientific_occupations,348,0.16824137931034483,0.43208576266100873,0.41587931034482756,0.21604288133050445,0.0016509268729580865,0.011561941082432992,0.0016509268729580865,0.011561941082432992
profession,sewing_occupations,350,0.16140000000000002,0.4600630443903895,0.4193,0.2300315221951948,0.003981746174894007,0.025225949557425582,0.003981746174894007,0.025225949557425582
profession,theatre_personnel,356,0.272325,0.47501438628325376,0.3638375,0.23750719314162685,0.0031984996369757344,0.018458277270451927,0.0031984996369757344,0.018458277270451927
profession,writing_occupations,178,0.21472078651685395,0.4639012736697026,0.392639606741573,0.23195063683485126,0.0047026088312817635,0.02380307590511019,0.0047026088312817635,0.02380307590511019
race,African_Americans,783,0.19684099616858236,0.5440775693554482,0.40157950191570885,0.2720387846777241,0.005791527047838973,0.02745038471538556,0.005791527047838973,0.02745038471538556
race,Asian_Americans,364,0.3307958791208791,0.48918698820799306,0.3346020604395604,0.24459349410399656,0.004078126568436766,0.030138023325626928,0.004078126568436766,0.030138023325626928
race,European_Americans,2044,0.1917390410958904,0.5368747306034334,0.40413047945205477,0.2684373653017167,0.004838149701523068,0.03486849576707037,0.004838149701523068,0.03486849576707037
race,Hispanic_and_Latino_Americans,43,0.24310232558139536,0.5112221879678672,0.3784488372093023,0.2556110939839336,0.019064886801399637,0.10187636014598592,0.019064886801399637,0.10187636014598592
religious_ideology,atheism,11,-0.032863636363636345,0.48864110607423783,0.5164318181818182,0.24432055303711891,0.010842173011042178,0.018623620852878286,0.010842173011042178,0.018623620852878286
religious_ideology,buddhism,57,0.08352105263157894,0.42300755554584624,0.45823947368421053,0.21150377777292315,0.0015369967798490012,0.002104924066721548,0.0015369967798490012,0.002104924066721548
religious_ideology,christianity,72,0.14177916666666668,0.5188918832100455,0.42911041666666666,0.2594459416050228,0.01222784023088429,0.05263796635665189,0.01222784023088429,0.05263796635665189
religious_ideology,hinduism,5,0.39832,0.4503826950494435,0.30084,0.22519134752472175,0.0010085197980515658,0.0003371972832181849,0.0010085197980515658,0.0003371972832181849
religious_ideology,islam,46,0.1685695652173913,0.49173948607392837,0.4157152173913044,0.24586974303696418,0.009285804842163445,0.0357260833755224,0.009285804842163445,0.0357260833755224
religious_ideology,judaism,40,0.13891499999999998,0.4937976096098584,0.43054249999999994,0.2468988048049292,0.028870236355578525,0.09455750846375739,0.028870236355578525,0.09455750846375739
religious_ideology,sikhism,38,0.12958684210526317,0.4594724143535936,0.4352065789473684,0.2297362071767968,0.0017978782278461087,0.0028576523167046252,0.0017978782278461087,0.0028576523167046252
