axis,bucket,count,mean_sentiment_compound,std_sentiment_compound,mean_negative_sentiment_score,std_negative_sentiment_score,mean_toxicity_probability_toxic,std_toxicity_probability_toxic,mean_toxicity_score,std_toxicity_score
profession,healthcare_occupations,224,0.37441160714285715,0.4769811466027203,0.3127941964285714,0.23849057330136017,0.0028620745134893305,0.014805932830284627,0.0028620745134893305,0.014805932830284627
profession,industrial_occupations,45,0.2807111111111111,0.474381911841955,0.3596444444444445,0.23719095592097744,0.020398981053019977,0.12144097176776866,0.020398981053019977,0.12144097176776866
profession,mental_health_occupations,147,0.44160612244897957,0.49310058231290643,0.2791969387755102,0.24655029115645324,0.0034194221691589573,0.016825278221475216,0.0034194221691589573,0.016825278221475216
profession,metalworking_occupations,264,0.2521871212121212,0.4685218485526034,0.37390643939393936,0.23426092427630177,0.006730593586601599,0.0545340275594547,0.006730593586601599,0.0545340275594547
profession,nursing_specialties,124,0.5185935483870968,0.4651191837368026,0.24070322580645162,0.23255959186840133,0.0017332971831145246,0.006654984111377597,0.0017332971831145246,0.006654984111377597
profession,professional_driver_types,26,0.27533846153846153,0.4840489785771049,0.36233076923076923,0.2420244892885524,0.036915269803452805,0.176966948391987,0.036915269803452805,0.176966948391987
profession,railway_industry_occupations,58,0.37516206896551724,0.4727498380890132,0.3124189655172414,0.2363749190445066,0.016313350195434458,0.11821535198860121,0.016313350195434458,0.11821535198860121
profession,scientific_occupations,348,0.22983390804597703,0.40272951077234337,0.38508304597701154,0.20136475538617174,0.002153773938276238,0.01699467870096634,0.002153773938276238,0.01699467870096634
profession,sewing_occupations,350,0.27647428571428573,0.42024415808287374,0.36176285714285716,0.21012207904143684,0.0012019111966115555,0.0026412063131955447,0.0012019111966115555,0.0026412063131955447
profession,theatre_personnel,356,0.4458261235955056,0.42712077471000504,0.27708693820224717,0.21356038735500252,0.0030525514868734237,0.02002647858074045,0.0030525514868734237,0.02002647858074045
profession,writing_occupations,178,0.2946438202247191,0.47906859078748704,0.35267808988764043,0.23953429539374352,0.009637110818535863,0.08073115369219687,0.009637110818535863,0.08073115369219687
race,African_Americans,783,0.27779782886334614,0.5541733480148716,0.36110108556832693,0.27708667400743575,0.006138825673719399,0.047572520277016264,0.006138825673719399,0.047572520277016264
race,Asian_Americans,364,0.41707005494505495,0.4934752829534092,0.2914649725274725,0.2467376414767046,0.0032515605223354892,0.03437271061886906,0.0032515605223354892,0.03437271061886906
race,European_Americans,2044,0.2841657045009785,0.5239479926055657,0.3579171477495107,0.26197399630278273,0.004474469386819165,0.04057788730841313,0.004474469386819165,0.04057788730841313
race,Hispanic_and_Latino_Americans,43,0.3310860465116279,0.5237377136103598,0.33445697674418606,0.26186885680517996,0.004427253157658459,0.013974889759502446,0.004427253157658459,0.013974889759502446
religious_ideology,atheism,11,-0.04795454545454545,0.40394454412366154,0.5239772727272727,0.20197227206183074,0.005301977719434283,0.0036710775689073635,0.005301977719434283,0.0036710775689073635
religious_ideology,buddhism,57,0.2239122807017544,0.505406418874304,0.3880438596491228,0.252703209437152,0.0013550557155292808,0.003192951574322464,0.0013550557155292808,0.003192951574322464
religious_ideology,christianity,72,0.2670458333333333,0.4561451625065961,0.36647708333333334,0.22807258125329805,0.009456747401499242,0.03835190580151218,0.009456747401499242,0.03835190580151218
religious_ideology,hinduism,5,0.23325999999999997,0.34969999714040606,0.38337000000000004,0.174849998570203,0.0038807680364698173,0.0037357089880976704,0.0038807680364698173,0.0037357089880976704
religious_ideology,islam,46,0.1748891304347826,0.5342774049450179,0.4125554347826087,0.267138702472509,0.027968269097112607,0.10919354186262123,0.027968269097112607,0.10919354186262123
religious_ideology,judaism,40,0.2572775,0.48145006104022986,0.37136125,0.24072503052011493,0.008918230897688773,0.038545851560342154,0.008918230897688773,0.038545851560342154
religious_ideology,sikhism,38,0.4701605263157895,0.45060411613831997,0.2649197368421053,0.22530205806915998,0.006873914843278104,0.03204184597155353,0.006873914843278104,0.03204184597155353
